model,purple,green,coral,blue,yellow,red,jet black,rose gold,gold,silver,space gray,white,Black,graphite,colors,front_camera_mp,number_camera_mp,rear_camera_mp,depth_mm,release_date,release_date_first,max_ios,processor,ram_gb,storage_options_gb,inner,display_inner_resolution,display_resolution,battery_mah,width,length,size,weight_g,body_material,biometric_auth,wireless_charging,video_recording,video_playback_hours,water_resistance,charging_wattage,launch_price_usd.min,launch_price_usd.max,charging_type,min_price_ILS,max_price_ILS,Airplay_support,support_hd,AI/Siri,ai type,Data Source,Headphone Jack,"Number of Buttons ( Power , Volume Up, Volume Down, Silent Switch)",Power,Volume Up,Volume Down,Silent Switch,rate,adv_rate,final_rate
iPhone X,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"['Space Gray', 'Silver']",7.0,2,12,7.7,2017-11-03,2017-11-03,iOS 16.x,A11,3,"[64, 256]",0,,1125x2436,2716.0,70.9,143.6,143.6×70.9×7.7,174,Glass/Steel,Face ID,Qi 7.5W,4K 60fps,13.0,1,18,999,1149,Lightning Connector,3326.67,3826.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,97,82666721.46630944,44.96
iPhone XR,0,0,1,1,1,1,0,0,0,0,0,1,1,0,"['Black', 'White', 'Red', 'Yellow', 'Blue', 'Coral']",7.0,1,12,8.3,2018-10-26,2018-10-26,iOS 18.x,A12,3,"[64, 128, 256]",0,,828x1792,2942.0,75.7,150.9,150.9×75.7×8.3,194,Glass/Aluminum,Face ID,Qi 7.5W,4K 60fps,16.0,1,18,449,599,Lightning Connector,1495.17,1994.67,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,89,204681369.5496723,47.2
iPhone 11,1,1,0,0,1,1,0,0,0,0,0,1,1,0,"['Black', 'Green', 'Yellow', 'Purple', 'White', '(PRODUCT)RED']",12.0,2,12,8.3,2019-09-20,2019-09-20,iOS 26,A13,4,"[64, 128, 256]",0,,828x1792,3110.0,75.7,150.9,150.9×75.7×8.3,194,Glass/Aluminum,Face ID,Qi 7.5W,4K 60fps,17.0,1,18,399,549,Lightning Connector,1328.67,1828.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,94,307295827.4159176,48.2
iPhone 11 Pro,0,1,0,0,0,0,0,0,1,1,1,0,0,0,"['Midnight Green', 'Space Gray', 'Silver', 'Gold']",12.0,3,12,8.1,2019-09-20,2019-09-20,iOS 26,A13,4,"[64, 256, 512]",0,,1125x2436,3046.0,71.4,144.0,144×71.4×8.1,188,Glass/Steel,Face ID,Qi 7.5W,4K 60fps,18.0,1,18,699,849,Lightning Connector,2327.67,2827.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,90,417412436.7747196,48.96
iPhone 11 Pro Max,0,1,0,0,0,0,0,0,1,1,1,0,0,0,"['Midnight Green', 'Space Gray', 'Silver', 'Gold']",12.0,3,12,8.1,2019-09-20,2019-09-20,iOS 26,A13,4,"[64, 256, 512]",0,,1242x2688,3969.0,77.8,158.0,158×77.8×8.1,226,Glass/Steel,Face ID,Qi 7.5W,4K 60fps,20.0,1,18,799,949,Lightning Connector,2660.67,3160.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,91,922169706.4578812,50.91
iPhone 12,1,1,0,1,0,1,0,0,0,0,0,1,1,0,"['Black', 'White', 'Red', 'Green', 'Blue', 'Purple']",12.0,2,12,7.4,2020-10-23,2020-10-23,iOS 26,A14,4,"[64, 128, 256]",0,,1170x2532,2815.0,71.5,146.7,146.7×71.5×7.4,164,Glass/Aluminum,Face ID,MagSafe 15W,4K 60fps,17.0,1,20,429,579,Lightning Connector,1428.57,1928.07,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,94,614361393.2023871,49.91
iPhone 12 Pro,0,0,0,1,0,0,0,0,1,1,0,0,0,1,"['Graphite', 'Silver', 'Gold', 'Pacific Blue']",12.0,3,12,7.4,2020-10-23,2020-10-23,iOS 26,A14,6,"[128, 256, 512]",0,,1170x2532,2815.0,71.5,146.7,146.7×71.5×7.4,189,Glass/Steel,Face ID,MagSafe 15W,4K 60fps,17.0,1,20,699,849,Lightning Connector,2327.67,2827.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,91,594754114.6959279,49.83
iPhone 13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"['Pink', 'Blue', 'Midnight', 'Starlight', '(PRODUCT)RED']",12.0,2,12,7.7,2021-09-24,2021-09-24,iOS 26,A15,4,"[128, 256, 512]",0,,1170x2532,3240.0,71.5,146.7,146.7×71.5×7.7,173,Glass/Aluminum,Face ID,MagSafe 15W,4K 60fps,19.0,1,20,429,579,Lightning Connector,1428.57,1928.07,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,96,1280187283.413885,51.72
iPhone 13 Pro,0,1,0,1,0,0,0,0,1,1,0,0,0,1,"['Graphite', 'Gold', 'Silver', 'Sierra Blue', 'Alpine Green']",12.0,3,12,7.7,2021-09-24,2021-09-24,iOS 26,A15 Pro,6,"[128, 256, 512, 1024]",0,,1170x2532,3095.0,71.5,146.7,146.7×71.5×7.7,203,Glass/Steel,Face ID,MagSafe 15W,4K 60fps,22.0,1,25,699,849,Lightning Connector,2327.67,2827.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,93,17567909108.740734,58.18
iPhone 14,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"['Blue', 'Purple', 'Midnight', 'Starlight', '(PRODUCT)RED']",12.0,2,12,7.8,2022-09-16,2022-09-16,iOS 26,A15,6,"[128, 256, 512]",0,,1170x2532,3279.0,71.5,146.7,146.7×71.5×7.8,172,Glass/Aluminum,Face ID,MagSafe 15W,4K 60fps,20.0,1,20,429,579,Lightning Connector,1428.57,1928.07,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,80,1495232010.6467679,52.1
iPhone 14 Pro,1,0,0,0,0,0,0,0,1,1,0,0,1,0,"['Deep Purple', 'Gold', 'Silver', 'Space Black']",12.0,3,48,7.9,2022-09-16,2022-09-16,iOS 26,A16,6,"[128, 256, 512, 1024]",0,,1179x2556,3200.0,71.5,147.5,147.5×71.5×7.9,206,Glass/Steel,Face ID,MagSafe 15W,4K 60fps,23.0,1,25,699,849,Lightning Connector,2327.67,2827.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,94,25349759528.591564,59.08
iPhone 15,0,1,0,1,1,0,0,0,0,0,0,0,1,0,"['Black', 'Blue', 'Green', 'Yellow', 'Pink']",12.0,2,48,7.8,2023-09-22,2023-09-22,iOS 26,A16,6,"[128, 256, 512]",0,,1179x2556,3349.0,71.6,147.6,147.6×71.6×7.8,171,Glass/Aluminum,Face ID,MagSafe 15W,4K 60fps,20.0,1,20,429,579,USB-C,1428.57,1928.07,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,77,1464357209.0771077,52.05
iPhone 15 Pro,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"['Black Titanium', 'White Titanium', 'Blue Titanium', 'Natural Titanium']",12.0,3,48,8.3,2023-09-22,2023-09-22,iOS 26,A17 Pro,8,"[128, 256, 512, 1024]",0,,1179x2556,3274.0,70.6,146.6,146.6×70.6×8.3,187,Glass/Titanium,Face ID,MagSafe 15W,4K 60fps,23.0,1,27,699,849,USB-C,2327.67,2827.17,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,95,50991421309.12363,60.81
iPhone 16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['Black', 'White', 'Pink', 'Teal', 'Ultramarine']",12.0,2,48,7.8,2024-09-20,2024-09-20,iOS 26,A18,8,"[128, 256, 512]",0,,1179x2556,3561.0,71.6,147.6,147.6×71.6×7.8,201,Glass/Aluminum,Face ID,MagSafe 25W,4K 60fps,22.0,1,30,429,579,USB-C,1428.57,1928.07,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,82,87139010978.23982,62.13
iPhone 17,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"['Lavender', 'Sage', 'Mist Blue', 'White', 'Black']",18.0,3,48,7.95,2025-09-19,2025-09-19,iOS 26,A19,8,"[256, 512]",0,,2622x1206,3692.0,71.5,149.6,149.6×71.5×7.95,212,Glass/Aluminum,Face ID,MagSafe 25W / Qi,4K 60fps,30.0,1,27,799,999,USB-C,2660.67,3326.67,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,95,559198344327.532,66.71
iPhone 17 Pro,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"['Lavender', 'Sage', 'Mist Blue', 'White', 'Black']",18.0,3,48,7.95,2025-09-19,2025-09-19,iOS 26,A19,8,"[256, 512]",0,,2796x1290,4252.0,78.1,161.6,161.6×78.1×7.95,229,Glass/Aluminum,Face ID,MagSafe 25W / Qi,4K 60fps,32.0,1,30,899,1099,USB-C,2993.67,3659.67,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,96,3107867864915.917,70.94
iPhone Air,0,0,0,1,0,0,0,0,1,0,0,1,1,0,"['Space Black', 'Cloud White', 'Light Gold', 'Sky Blue']",18.0,2,48,5.64,2025-09-19,2025-09-19,iOS 26,A19 Pro,12,"[256, 512, 1024]",0,,2780x1265,3149.0,74.7,156.2,156.2×74.7×5.64,221,Titanium,Face ID,MagSafe / Qi,4K 60fps,27.0,1,20,999,1199,USB-C,3326.67,3992.67,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,90,17787029937.225876,58.21
iPad (11th generation),0,0,0,1,1,0,0,0,0,1,0,0,0,0,"['Silver', 'Blue', 'Pink', 'Yellow']",12.0,1,12,7.0,2025-03-12,2025-03-12,ipad os 17.x,A16,6,"[128, 256, 512]",0,,2360x1640,7693.0,179.5,248.6,248.6×179.5×7.0,490,Aluminum,Touch ID,No,4K 60fps,10.0,0,18,599,800,USB-C,1994.67,2664.0,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,1,4,1,1,1,1,80,298920.72792388505,31.09
"iPad Air (M3) 11"" / 13""",0,0,0,1,0,0,0,1,1,1,0,0,1,0,"['Starlight', 'Space Black', 'Silver', 'Blue', 'Rose Gold']",12.0,1,12,6.1,2025-03-12,2025-03-12,ipad os 18x,M3,8,"[128, 256, 512, 1024]",0,,2500x1700,8655.5,178.5,247.6,247.6×178.5×6.1,586,Aluminum,Touch ID ,No,4K 60fps,10.0,0,18,599,799,USB-C,1994.67,2660.67,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,86,19533182.381711036,41.4
"iPad Pro (6th generation) 11"" / 12.9""",0,0,0,0,0,0,0,0,0,1,1,0,0,0,"['Space Gray', 'Silver']",12.0,2,12,5.7,2022-10-26,2022-10-26,ipad os 18x,M2,,"[128, 256, 512, 1024, 2048]",0,,2470x1800,9148.0,190.0,260.0,260×190×5.7,720,Aluminum,Face ID,No,4K 60fps / ProRes,10.0,0,18,799,1099,USB-C (Thunderbolt/USB4),2660.67,3659.67,Full AirPlay support,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,93,21878621.828042947,41.68
"MacBook Air 13.6"" (M2, 2022)",0,0,0,0,0,0,0,0,0,1,1,0,0,0,"['Midnight', 'Starlight', 'Space Gray', 'Silver']",1080.0,0,0,11.3,2022-07-15,2022-07-15,macOS Ventura,Apple M2,"[8, 16, 24]","[256, 512, 1024, 2048]",0,,2560×1664,4620.0,215.0,304.1,304.1×215×11.3,1240,Aluminum,Touch ID,No,1080p FaceTime HD,18.0,0,30,1199,2499,USB-C,3992.67,8321.67,Supports AirPlay to Apple TV / compatible displays,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,90,10619134615.716816,56.94
"MacBook Pro 13.3"" (M2, 2022)",0,0,0,0,0,0,0,0,0,1,1,0,0,0,"['Space Gray', 'Silver']",720.0,0,0,15.6,2022-06-24,2022-06-24,macOS Ventura,Apple M2,"[8, 16, 24]","[256, 512, 1024, 2048]",0,,2560×1600,5100.0,212.4,304.1,304.1×212.4×15.6,1400,Aluminum,Touch Bar + Touch ID,No,720p FaceTime HD,20.0,0,30,1299,2499,USB-C,4325.67,8321.67,Supports AirPlay to Apple TV / compatible displays,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,85,20946053253.782127,58.61
"MacBook Pro 14.2"" (M3, 2023)",0,0,0,0,0,0,0,0,0,1,1,0,0,0,"['Space Gray', 'Silver']",1080.0,0,0,15.5,2023-11-07,2023-11-07,macOS Sonoma,Apple M3,"[8, 16, 24, 36]","[512, 1024, 2048, 4096]",0,,3024×1964,6100.0,221.2,312.6,312.6×221.2×15.5,1600,Aluminum,Touch ID,No,1080p FaceTime HD,22.0,0,67,1599,3199,USB-C (MagSafe 3 / USB-C),5324.67,10652.67,Supports AirPlay to Apple TV / compatible displays,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,90,1.0744346938753314e+16,91.04
"MacBook Pro 16.2"" (M3 Pro, 2023)",0,0,0,0,0,0,0,0,0,1,1,0,0,0,"['Space Gray', 'Silver']",1080.0,0,0,16.8,2023-11-07,2023-11-07,macOS Sonoma,Apple M3 Pro,"[18, 36, 48]","[512, 1024, 2048, 4096, 8192]",0,,3456×2234,6750.0,248.1,355.7,355.7×248.1×16.8,2200,Aluminum,Touch ID,No,1080p FaceTime HD,22.0,0,96,2499,4299,USB-C (MagSafe 3 / USB-C),8321.67,14315.67,Supports AirPlay to Apple TV / compatible displays,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,95,1.961554600290658e+20,115.24
"MacBook Air 15.3"" (M2, 2023)",0,0,0,0,0,0,0,0,0,1,1,0,0,0,"['Midnight', 'Starlight', 'Space Gray', 'Silver']",1080.0,0,0,11.5,2023-06-13,2023-06-13,macOS Sonoma,Apple M2,"[8, 16, 24]","[256, 512, 1024, 2048]",0,,2880×1864,5100.0,237.6,340.4,340.4×237.6×11.5,1900,Aluminum,Touch ID,No,1080p FaceTime HD,18.0,0,35,1299,2499,USB-C (MagSafe 3 / USB-C),4325.67,8321.67,Supports AirPlay to Apple TV / compatible displays,1,1,Siri,Apple.com / GSMArena,0,3,1,1,1,0,92,61683403824.88524,61.28
Galaxy S25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['Purple', 'Green', 'Coral', 'Blue', 'Yellow', 'Red', 'Jet Black', 'Rose Gold', 'Gold', 'Silver', 'Space Gray', 'White', 'Black', 'Graphite']",10.0,3,50,7.4,2025-02-07,2025-02-07 00:00:00,,,"[8, 12]","[128, 256, 512]",0,,2340×1080,4000.0,70.5,146.5,146.5 × 70.5 × 7.4,169,Glass/Aluminum,Face ID,,4K 60fps,29.5,1,25,799,1299,USB-C PD 3.0,2660.67,4325.67,0,1,1,Bixby / Samsung AI,Samsung.com / GSMArena,0,3,1,1,1,0,87,226915381070.79233,64.49
Galaxy Note 20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Mystic Bronze', 'Mystic Green', 'Mystic Gray']",10.0,3,64,8.3,2020-08-05,2020-08-05 00:00:00,,,"[8, 12]","[128, 256, 512]",0,,2400×1080,4300.0,75.2,161.6,161.6 × 75.2 × 8.3,192,Glass/Aluminum,Face ID,No,8K 24fps,24.0,1,25,999,1299,USB-C PD 3.0,3326.67,4325.67,0,1,1,Bixby / Samsung AI,Samsung.com / GSMArena,0,3,1,1,1,0,90,41631680789.72748,60.31
Galaxy A14,0,0,0,1,0,1,0,0,0,0,0,1,1,0,"['Black', 'White', 'Blue', 'Red']",13.0,3,50,8.3,2023-12-01,2023-12-01 00:00:00,,,"[4, 6]","[64, 128]",0,,2408×1080,5000.0,77.2,164.5,164.5 × 77.2 × 8.3,202,Plastic,-999,No,4K 30fps,14.0,1,15,199,249,USB-C,662.67,829.1700000000001,0,1,1,Bixby / Samsung AI,Samsung.com / GSMArena,1,3,1,1,1,0,50,2168225.3431814536,35.98
Galaxy Z Flip 7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"['Purple', 'Black', 'Silver']",10.0,2,50,17.3,2025-07-09,2025-07-09 00:00:00,,,12,"[256, 512]",1,2520×1080,1048×840,4300.0,71.9,85.4,85.4 × 71.9 × 17.3,187,Aluminum/Plastic,Face ID,,4K 30fps,31.0,1,25,1069,1219,USB-C PD 3.0 / PPS,3559.77,4059.27,0,1,1,Bixby / Samsung AI,Samsung.com / GSMArena,0,3,1,1,1,0,85,155067570869.02304,63.55
Galaxy Z Fold 7,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"['Silver', 'Black', 'Blue']",10.0,3,200,6.3,2025-07-25,2025-07-25 00:00:00,,,"[12, 16]","[256 , 512 1024]",1,2184×1968,2520×1080,4400.0,128.1,158.4,158.4 × 128.1 × 6.3,270,Aluminum/Plastic,Face ID,,8K 24fps,24.0,1,45,1999,2419,USB-C PD 3.0 / PPS,6656.67,8055.27,0,1,1,Bixby / Samsung AI,Samsung.com / GSMArena,0,3,1,1,1,0,86,12690321130908.973,74.41
